Oliver Connell & Son Limited,,, -   ,,,rev O,OH&P,NETT ALLOWANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client,,, -   ,,,20 May 22,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,Prelims,,TOTAL,LABOUR,,,,,,PLANT,,,,,MATERIALS,,,,S/C,,PRELIMS,
Site,,, -   ,,,ref xxxx,,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Supervision,Other,,Conc lab,Gdwkr,Carp,S/fixer,Other,Plant Op,Plant,Fuel,Fwk,Ply/Tim,Temp mat,Concrete,Rebar,Fill,Other,C/A,Other,Staff,Other
,,, Quant ,Unit,Rate,Total,18.0%,,22.61,24.44,26.28,25.97,31.78,26.89,14.44,,,41.50,,,"1,170.00",,,300.00,,,,,,,,,,,,,,,,,,,,,,,
Groundworks,,, -   ,,,,,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,1.0000,1.0000,1.0000,,,,,,man weeks,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,
,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schedule of Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preambles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,EWS; ne 1m dp; faces ne 2m,,,m2,0.67,,0.10,0.57,,0.37,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,EWS; ne 1m dp; faces 2-4m,,,m2,0.84,,0.13,0.72,,0.42,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,EWS; ne 1m dp; faces ex 4m,,,m2,1.14,,0.17,0.96,,0.46,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,EWS; ne 1m dp; batters b/fill with SEM,,,m2,7.47,,1.14,6.33,,1.40,,,,1.54,0.81,0.81,,,,,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,
370,EWS; ne 1m dp; batters b/fill with type 1,,,m2,47.03,,7.17,39.86,,1.40,,,,1.54,0.81,0.81,,,,,,17.65,,17.65,,,,,,,,,,,,,,,,,,,,,,,
371,EWS; ne 2m dp; faces ne 2m,,,m2,1.74,,0.27,1.48,,0.98,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,EWS; ne 2m dp; faces 2-4m,,,m2,2.85,,0.43,2.41,,1.71,,,,,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,EWS; ne 2m dp; faces ex 4m,,,m2,3.95,,0.60,3.34,,2.44,,,,,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,EWS; ne 2m dp; batters b/fill with SEM,,,m2,14.93,,2.28,12.65,,2.80,,,,3.08,1.63,1.63,,,,,,,,3.53,,,,,,,,,,,,,,,,,,,,,,,
375,EWS; ne 2m dp; batters b/fill with type 1,,,m2,94.06,,14.35,79.71,,2.80,,,,3.08,1.63,1.63,,,,,,35.29,,35.29,,,,,,,,,,,,,,,,,,,,,,,
376,EWS; ne 4m dp; faces ne 2m,,,m2,2.85,,0.43,2.41,,1.71,,,,,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,EWS; ne 4m dp; faces 2-4m,,,m2,9.53,,1.45,8.08,,5.38,,,,,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,EWS; ne 4m dp; faces ex 4m,,,m2,26.16,,3.99,22.17,,14.67,,,,,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,EWS; ne 4m dp; batters b/fill with SEM,,,m2,49.57,,7.56,42.01,,5.93,,,,9.89,6.04,6.04,,,,,,,,14.12,,,,,,,,,,,,,,,,,,,,,,,
380,EWS; ne 4m dp; batters b/fill with type 1,,,m2,199.50,,30.43,169.07,,5.93,,,,9.89,6.04,6.04,,,,,,70.59,,70.59,,,,,,,,,,,,,,,,,,,,,,,
381,EWS; ne 6m dp; faces ne 2m,,,m2,40.64,,6.20,34.44,,24.44,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,EWS; ne 6m dp; faces 2-4m,,,m2,49.95,,7.62,42.33,,29.33,,,,,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,EWS; ne 6m dp; faces ex 4m,,,m2,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,EWS; ne 6m dp; faces ex 4m; to shaft in embankment for crane base,,,m2,84.17,,12.84,71.33,,29.33,,,,15.00,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,EWS; ne 6m dp; batters b/fill with SEM,,,m2,74.35,,11.34,63.01,,8.90,,,,14.83,9.05,9.05,,,,,,,,21.18,,,,,,,,,,,,,,,,,,,,,,,
386,EWS; ne 6m dp; batters b/fill with type 1,,,m2,299.25,,45.65,253.60,,8.90,,,,14.83,9.05,9.05,,,,,,105.88,,105.88,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temporary Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,EWS; sheet piling; ???m retained height; permanent (provisional),,,m2,"1,062.00",,162.00,900.00,,,,,,,,,,,,,,,,,900.00,,,,,,,,,,,,,,,,,,,,,,
388,EWS; sheet piling; full driven height; permanent (provisional),,,m2,424.80,,64.80,360.00,,,,,,,,,,,,,,,,,360.00,,,,,,,,,,,,,,,,,,,,,,
389,EWS; sheet piling; ???m retained height; extract sheets (provisional),,,m2,852.55,,130.05,722.50,,,,,,,,,,,,,,,,,722.50,,,,,,,,,,,,,,,,,,,,,,
,EO Sheet piling for corner piles (retained height),,,m,"1,593.00",,243.00,"1,350.00",,,,,,,,,,,,,,,,,"1,350.00",,,,,,,,,,,,,,,,,,,,,,
390,EWS; king post wall; 3m retained height (provisional),,,m2,388.08,,59.20,328.88,,12.22,,,,13.44,7.00,7.00,,,,,,,66.00,,223.21,,,,,,,,,,,,,,,,,,,,,,
391,EWS; trench sheets only (propping separate),,,m2,76.66,,11.69,64.96,,24.44,,,,13.44,13.54,13.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,EWS; trench sheets only (propping separate),,,m2,76.66,,11.69,64.96,,24.44,,,,13.44,13.54,13.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,EWS; trench sheets & props to trench sides,,,m2,98.16,,14.97,83.19,,36.67,,,,13.44,16.54,16.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,EWS; trench sheets (S235) & props; max 2.5m retained height; lost sheets,,,m2,233.99,,35.69,198.30,,24.44,,,,13.44,13.54,13.54,,,133.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,EWS; trench sheets (S235) & props; max 2.5m retained height; lost sheets,,,m2,233.99,,35.69,198.30,,24.44,,,,13.44,13.54,13.54,,,133.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Burn off top of sheet piles (in free air),,,m,23.60,,3.60,20.00,,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,
397,"Burn through sheet piles, cast against concrete (not in free air)",,,m,94.40,,14.40,80.00,,,,,,,,,,,,,,,,,80.00,,,,,,,,,,,,,,,,,,,,,,
398,Extract sheet piles (no credit for steel),,,m2,118.00,,18.00,100.00,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,
399,Weld clutches,,,m,35.40,,5.40,30.00,,,,,,,,,,,,,,,,,30.00,,,,,,,,,,,,,,,,,,,,,,
400,Site welding,,,m,55.72,,8.50,47.22,,12.22,,,,,5.00,,,,,,,,,,30.00,,,,,,,,,,,,,,,,,,,,,,
401,Profile plate welded to sheet piles at slab junction,,,m,129.80,,19.80,110.00,,,,,,,,,,,,,,,,,110.00,,,,,,,,,,,,,,,,,,,,,,
402,Design temporary works,,,item,"1,180.00",,180.00,"1,000.00",,,,,,,,,,,,,,,,,"1,000.00",,,,,,,,,,,,,,,,,,,,,,
403,Design temporary works,,,item,"5,900.00",,900.00,"5,000.00",,,,,,,,,,,,,,,,,"5,000.00",,,,,,,,,,,,,,,,,,,,,,
404,"Temporary works; hydraulic props / steel props & walers to secant piles, [as Temp Wks tab]",,,item,"532,768.50",,"81,269.77","451,498.73","4,000.00","47,400.00","6,250.00","4,000.00","11,400.00",,"257,601.16","1,000.00","3,360.00",,"1,600.00","4,040.00","2,000.00",,250.00,"1,000.00","80,497.57","20,500.00","6,600.00",,,,,,,,,,,,,,,,,,,,
405,Temporary works; structural steel propping ,,,t,"5,171.38",,788.86,"4,382.53",,,,,"2,000.00",134.44,333.33,,,,,,,,"1,914.75",,,,,,,,,,,,,,,,,,,,,,,,
406,Beam nodes; special junctions,,,nr,"4,720.00",,720.00,"4,000.00",,,,,,,,,,,,,,,"4,000.00",,,,,,,,,,,,,,,,,,,,,,,,
407,Welder,,,days,147.50,,22.50,125.00,,,,,50.00,,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Temporary works; structural steel propping (lower lvl),,,t,"4,858.06",,741.06,"4,117.00",,200.00,,,"3,160.00",,,,,,7.00,,,,750.00,,,,,,,,,,,,,,,,,,,,,,,,
409,Structural steel gantry platform,,,t,"3,973.06",,606.06,"3,367.00",,200.00,,,"3,160.00",,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Temporary work; flying props; 254 x 254 x 107kg UC,,,m,529.28,,80.74,448.54,,21.40,,,338.12,,,,,,0.75,,,,88.28,,,,,,,,,,,,,,,,,,,,,,,,
411,Temporary work; waler; ? x ? x 107kg UB,,,m,529.28,,80.74,448.54,,21.40,,,338.12,,,,,,0.75,,,,88.28,,,,,,,,,,,,,,,,,,,,,,,,
412,Temporary work; waler; 686 x 254 x 140kg UB,,,m,692.52,,105.64,586.88,,28.00,,,442.40,,,,,,0.98,,,,115.50,,,,,,,,,,,,,,,,,,,,,,,,
413,Temporary work; waler; 533 x 210 x 92kg UB,,,m,446.94,,68.18,378.76,,18.40,,,290.72,,,,,,0.64,,,,69.00,,,,,,,,,,,,,,,,,,,,,,,,
414,Temporary work; raking props; 254 x 254 x 107kg UC,,,m,529.28,,80.74,448.54,,21.40,,,338.12,,,,,,0.75,,,,88.28,,,,,,,,,,,,,,,,,,,,,,,,
415,Temporary work; structural post; 686 x 254 x 140kg UB,,,m,692.52,,105.64,586.88,,28.00,,,442.40,,,,,,0.98,,,,115.50,,,,,,,,,,,,,,,,,,,,,,,,
416,Temporary works; structural steel propping; circ sections,,,t,"4,109.94",,626.94,"3,483.00",,,,,"3,476.00",,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Temporary works; structural steel propping; circ sections,,,t,"4,109.94",,626.94,"3,483.00",,,,,"3,476.00",,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Temporary works; blisters to capping beam to raise prop above GF slab,,,nr,"1,715.34",,261.66,"1,453.68",108.71,,191.04,149.84,,,1.00,,5.00,57.91,0.33,259.84,585.00,,95.00,,,,,,,,,,,,,,,,,,,,,,,,
419,Supply Only plunge columns for casting into piles by others,,,t,"1,298.00",,198.00,"1,100.00",,,,,,,50.00,,,,,,,,"1,050.00",,,,,,,,,,,,,,,,,,,,,,,,
420,Dismantle & remove structural steel propping,,,t,826.00,,126.00,700.00,,,,,700.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Dismantle & remove structural steel propping; 107kg/m,,,m,97.22,,14.83,82.39,,,,,82.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Thrust Blocks (xnr; 2mx2mx1.5m)                       x =,7,,item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Excavate pits; in basement,6,,m3,19.35,,2.95,16.40,,5.05,,,,5.56,2.89,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Dispose of excavation arisings off site; clean inert material,6,,m3,41.65,,6.35,35.29,,,,,,,,,,,,,,,,35.29,,,,,,,,,,,,,,,,,,,,,,,
425,Level & compact bottom of excavation,4,,m2,0.52,,0.08,0.44,,0.14,,,,0.15,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,EWS; ne 4m dp; faces 2-4m,12,,m2,4.23,,0.65,3.59,,2.69,,,,,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Working space; pile caps; b/fill with SEM,12,,m2,14.03,,2.14,11.89,,2.68,,,,2.95,1.54,1.54,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,
428,C40 conc; Pile caps/foundations/bases,6,,m3,168.16,,25.65,142.51,10.81,,,,,,0.50,,,,,131.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Fwk; Foundations; ex 1m,12,,m2,34.19,,5.22,28.98,,,26.28,,,,,,,2.60,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Trowel finish,4,,m2,3.64,,0.56,3.09,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Reinforced continuity joint with Conobar or similar; to 300 thk slab; H16 bars T&B,,,m,48.00,,7.32,40.68,,,2.92,8.66,9.00,,,,,,,,,,20.10,,,,,,,,,,,,,,,,,,,,,,,,
432,Form pocket; ,1,,nr,58.84,,8.98,49.86,,,33.64,,,,,,,16.16,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Reinforcement; Various sizes 10-40mm dia @ 100kg/m3,0.6,,tonne,"1,769.62",,269.94,"1,499.68",,,,299.68,,,,,,,,,"1,170.00",,30.00,,,,,,,,,,,,,,,,,,,,,,,,
434,Thrust Blocks (xnr; 2mx2mx1.5m)                       x =,3,,item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Excavate pits; in basement,6,,m3,19.35,,2.95,16.40,,5.05,,,,5.56,2.89,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Dispose of excavation arisings off site; clean inert material,6,,m3,41.65,,6.35,35.29,,,,,,,,,,,,,,,,35.29,,,,,,,,,,,,,,,,,,,,,,,
437,Level & compact bottom of excavation,4,,m2,0.52,,0.08,0.44,,0.14,,,,0.15,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,EWS; ne 4m dp; faces 2-4m,12,,m2,4.23,,0.65,3.59,,2.69,,,,,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Working space; pile caps; b/fill with SEM,12,,m2,14.03,,2.14,11.89,,2.68,,,,2.95,1.54,1.54,,,,,,,,3.18,,,,,,,,,,,,,,,,,,,,,,,
440,C40 conc; Pile caps/foundations/bases,6,,m3,171.79,,26.20,145.58,10.81,,,,,,0.50,,,,,134.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Fwk; Foundations; ex 1m,12,,m2,34.19,,5.22,28.98,,,26.28,,,,,,,2.60,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Trowel finish,4,,m2,3.64,,0.56,3.09,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Reinforced continuity joint with Conobar or similar; to 300 thk slab; H16 bars T&B,,,m,48.00,,7.32,40.68,,,2.92,8.66,9.00,,,,,,,,,,20.10,,,,,,,,,,,,,,,,,,,,,,,,
444,Form pocket; ,1,,nr,58.84,,8.98,49.86,,,33.64,,,,,,,16.16,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Reinforcement; Various sizes 10-40mm dia @ 100kg/m3,0.6,,tonne,"1,752.37",,267.31,"1,485.06",,,,285.06,,,,,,,,,"1,170.00",,30.00,,,,,,,,,,,,,,,,,,,,,,,,
446,Movement monitoring; Independant survey & reporting,,,wk,472.00,,72.00,400.00,,,,,400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Movement monitoring (set up & dismantle),,,item,424.80,,64.80,360.00,,,,,360.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Remove temp wks to top down construction along GL A; 70m x 7m,,,item,"16,048.00",,"2,448.00","13,600.00",,"5,000.00",,,"1,000.00","2,600.00",,,,,,,,,,"5,000.00",,,,,,,,,,,,,,,,,,,,,,,
449,Temporary works; propping sheet piling; provisional sum,,,item,"23,951.25",,"3,653.58","20,297.67",,"8,297.67",,,,,,,,,"10,000.00",,,,"2,000.00",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Disposal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Haul & deposit on site; max 50m,,,m3,4.98,,0.76,4.22,,,,,,2.07,1.08,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,"Haul & deposit on site; by hand/wheelbarrows, inc load by hand; max 50m",,,m3,70.41,,10.74,59.67,,58.67,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Haul & deposit on site; max 100m,,,m3,4.48,,0.68,3.80,,,,,,2.69,0.56,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Haul & deposit on site; max 500m,,,m3,10.79,,1.65,9.15,,,,,,4.48,2.33,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Haul & deposit on site; max 750m,,,m3,14.39,,2.20,12.20,,,,,,5.98,3.11,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Haul & deposit on site; max 1000m,,,m3,21.59,,3.29,18.30,,,,,,8.96,4.67,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Excavate & load from stockpile,,,m3,2.70,,0.41,2.29,,,,,,1.12,0.58,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Excavate & load from stockpile; by hand,,,m3,64.77,,9.88,54.89,,,,,,26.89,14.00,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,WAC test pile or excvtn spoil to assess contamination,,,nr,295.00,,45.00,250.00,,,,,,,,,,,,,,,,,250.00,,,,,,,,,,,,,,,,,,,,,,
459,Inert disposal rate fluctuating based on prime cost of:,,,load,£300.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Dispose of excavation arisings off site; clean inert material,1,,m3,41.65,,6.35,35.29,,,,,,,,,,,,,,,,35.29,,,,,,,,,,,,,,,,,,,,,,,
,Non-hazardous (treatable) disposal rate fluctuating based on prime cost of:,,,load,£400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Dispose of excavation arisings off site; non-hazardous material (treatable),2,,m3,55.53,,8.47,47.06,,,,,,,,,,,,,,,,47.06,,,,,,,,,,,,,,,,,,,,,,,
462,EO clean inert disposal for non haz (treatable),2,,m3,13.88,,2.12,11.76,,,,,,,,,,,,,,,,11.76,,,,,,,,,,,,,,,,,,,,,,,
,Non-hazardous (tip) disposal rate fluctuating based on prime cost of:,,,load,£550.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Dispose of excavation arisings off site; non-hazardous material (tip),3,,m3,76.35,,11.65,64.71,,,,,,,,,,,,,,,,64.71,,,,,,,,,,,,,,,,,,,,,,,
464,EO clean inert disposal for non haz (tip),3,,m3,34.71,,5.29,29.41,,,,,,,,,,,,,,,,29.41,,,,,,,,,,,,,,,,,,,,,,,
,Hazardous (treatable) disposal rate fluctuating based on prime cost of:,,,load,"£1,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Dispose of excavation arisings off site; hazardous material (treatable),4,,m3,208.24,,31.76,176.47,,,,,,,,,,,,,,,,176.47,,,,,,,,,,,,,,,,,,,,,,,
464,EO clean inert disposal for hazardous (treatable),4,,m3,166.59,,25.41,141.18,,,,,,,,,,,,,,,,141.18,,,,,,,,,,,,,,,,,,,,,,,
,Hazardous (tip) disposal rate fluctuating based on prime cost of:,,,load,"£2,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Dispose of excavation arisings off site; hazardous material (tip),5,,m3,347.06,,52.94,294.12,,,,,,,,,,,,,,,,294.12,,,,,,,,,,,,,,,,,,,,,,,
466,EO clean inert disposal for hazardous (tip),5,,m3,305.41,,46.59,258.82,,,,,,,,,,,,,,,,258.82,,,,,,,,,,,,,,,,,,,,,,,
,Hazardous (asbestos) disposal rate fluctuating based on prime cost of:,,,load,"£3,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Dispose of excavation arisings off site; hazardous material (asbestos),6,,m3,485.88,,74.12,411.76,,,,,,,,,,,,,,,,411.76,,,,,,,,,,,,,,,,,,,,,,,
468,EO clean inert disposal for hazardous (asbestos),6,,m3,444.24,,67.76,376.47,,,,,,,,,,,,,,,,376.47,,,,,,,,,,,,,,,,,,,,,,,
,Remediation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,"Chemical injection remediation; Regenesis; 2,079m2",,,item,"483,974.05",,"73,826.55","410,147.50",,,,,,,,,,,,,,,,,"410,147.50",,,,,,,,,,,,,,,,,,,,,,
470,"Excavate, dispose and imported fill",,,m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,"Excavate, mix chemicals, rotavate, fill & compact",,,m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Dispose of arisings off site using roll on/roll off skips,,,m3,153.40,,23.40,130.00,,,,,,,,,,,,,,,,130.00,,,,,,,,,,,,,,,,,,,,,,,
473,Dispose of arisings off site using 1m3 jiffy bag,,,m3,340.10,,51.88,288.22,,24.44,,,,26.89,14.44,14.44,,,,,,,,208.00,,,,,,,,,,,,,,,,,,,,,,,
474,Dispose of hardcore / piling mat off site,,,m3,19.67,,3.00,16.67,,,,,,,,,,,,,,,,16.67,,,,,,,,,,,,,,,,,,,,,,,
475,Dispose of vegetable material (site strip) off site,,,m3,48.59,,7.41,41.18,,,,,,,,,,,,,,,,41.18,,,,,,,,,,,,,,,,,,,,,,,
476,Dispose of topsoil off site,,,m3,41.65,,6.35,35.29,,,,,,,,,,,,,,,,35.29,,,,,,,,,,,,,,,,,,,,,,,
477,Dispose of broken concrete off site,,,m3,22.13,,3.38,18.75,,,,,,,,,,,,,,,,18.75,,,,,,,,,,,,,,,,,,,,,,,
478,Dispose of broken tarmac off site,,,m3,23.60,,3.60,20.00,,,,,,,,,,,,,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dewatering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Dispose surface water,,,item,inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Dispose ground water,1,,item,"1,778.44",,271.29,"1,507.15",,107.15,,,,,700.00,700.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Dispose ground water,2,,item,"3,448.22",,526.00,"2,922.22",,122.22,,,,,"1,400.00","1,400.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Dispose ground water,3,,item,"6,142.56",,937.00,"5,205.56",,305.56,,,,,"2,450.00","2,450.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Dispose ground water,4,,item,"7,544.13",,"1,150.80","6,393.33",,513.33,,,,,"2,940.00","2,940.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Dispose ground water,5,,item,"9,430.17",,"1,438.50","7,991.67",,641.67,,,,,"3,675.00","3,675.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Dispose ground water,6,,item,"12,362.47",,"1,885.80","10,476.67",,"1,026.67",,,,,"4,725.00","4,725.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,GW pump and settlement tank; 10hrs/day working,,,wks,"1,088.22",,166.00,922.22,,122.22,,,,,400.00,400.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,GW pump and settlement tank; 24/7 working,,,wks,"1,718.87",,262.20,"1,456.67",,256.67,,,,,400.00,400.00,,,,,,,,,400.00,,,,,,,,,,,,,,,,,,,,,,
488,Silt netting and silt mats,,,m,48.51,,7.40,41.11,,6.11,,,,,,,,,35.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Storage & settlement tank,,,wks,94.40,,14.40,80.00,,,,,,,80.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Silt buster water treatment,,,wks,496.26,,75.70,420.56,,30.56,,,,,370.00,,,,20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Discharge licence; pumping to LA sewers,,,item,"3,540.00",,540.00,"3,000.00",,,,,,,,,,,,,,,,,"3,000.00",,,,,,,,,,,,,,,,,,,,,,
492,Auger well point bore; 12m deep; insert suction pipe & fill with shingle,,,nr,450.82,,68.77,382.05,,25.88,,,,1.58,0.82,0.82,,,,,,52.94,,,300.00,,,,,,,,,,,,,,,,,,,,,,
493,Dewatering well points; mob/demob/design/commission,,,item,"5,310.00",,810.00,"4,500.00",,,,,,,,,,,,,,,,,"4,500.00",,,,,,,,,,,,,,,,,,,,,,
494,Dewatering well points; install (per 10m dp well point),,,nr,"1,834.90",,279.90,"1,555.00",,,,,,,,,,,,,,,,,"1,555.00",,,,,,,,,,,,,,,,,,,,,,
495,Dewatering well points; install (per 15m dp well point),,,nr,"1,947.00",,297.00,"1,650.00",,,,,,,,,,,,,,,,,"1,650.00",,,,,,,,,,,,,,,,,,,,,,
496,Dewatering well points; hire; (per 10m well point/wk),,,week,177.00,,27.00,150.00,,,,,,,,,,,,,,,,,150.00,,,,,,,,,,,,,,,,,,,,,,
497,Dewatering well points; hire; (per 15m well point/wk),,,week,212.40,,32.40,180.00,,,,,,,,,,,,,,,,,180.00,,,,,,,,,,,,,,,,,,,,,,
498,Dewatering well points; temp power 65kVA gen,,,week,531.00,,81.00,450.00,,,,,,,,,,,,,,,,,450.00,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Filling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Soil stabilisation; lime & cement mix to C0.4/0.5; 700mm thk to 15% CBR (800m2 / day),,,m2,14.75,,2.25,12.50,,,,,,,,,,,,,,,,,12.50,,,,,,,,,,,,,,,,,,,,,,
500,Filling; with selected excavated material (SEM),,,m3,5.51,,0.84,4.67,,1.44,,,,1.58,0.82,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Filling with free issue materials from site stockpile; load & haul max 50m,,,m3,9.81,,1.50,8.31,,1.44,,,,3.16,1.86,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
